id,type,args,nom
240,2001,,Sa tactique c'est l'attaque...
242,2001,,De la société...
243,2001,,Entrer dans la grotte
244,2001,,La vengeance...
245,2001,,Tueur...
246,2001,,C'est lui qui attaque...
247,2001,,Agence Touriste
248,2001,,Plonge à votre secours...
249,2001,,Ranger du risque !
250,2001,,Continuer la discussion
252,2001,,Critiquer le Ghetto Raide
253,2001,,Vanter les mérites du Ghetto Raide
254,2001,,Se renseigner sur ses nouvelles trouvailles
255,2001,,Enfoncer le clou
256,2001,,Proposer son aide
257,2001,,Proposer son aide
258,2001,,Enfoncer le clou
259,-1,-1,Consulter son coffre personnel
259,2001,,Consulter son coffre personnel
260,2001,,Demander à rentrer
263,2001,,Se renseigner sur le Clan des Roublards
264,2001,,Demander à entrer dans la grotte
265,2001,,Redemander à entrer dans la grotte
266,2001,,Donner le droit de passage
267,2001,,Entrer dans la grotte
270,1,334,Se renseigner sur le métier de Paysan
271,6,"287,613,335,336",Apprendre le métier de Paysan
272,1,338,Demander du travail
273,2001,,Aider Farle pour sa moisson
275,2001,,Se renseigner sur les métiers de Sculpture
279,1,344,Se renseigner sur le métier de Bûcheron
280,6,"28,983,351,489",Apprendre le métier de Bûcheron
281,1,346,Proposer son aide
282,2001,,Se renseigner sur le métier de Bijoutier
283,2001,,Se renseigner sur le travail proposé 
284,6,"16,7544,-1,-1",Apprendre le métier de Bijoutier
286,1,349,Se renseigner sur les Moskitos
287,1,350,Se renseigner sur la collecte de bois d'Abraknyde
288,1,351,Se renseigner sur la création d'un Bâton en Racine d'Abraknyde
289,1,352,Se renseigner sur la Sève d'Abraknyde
292,2001,,Se renseigner sur les parchemins
293,2001,,Demander un Grand Parchemin d'Agilité 
294,2001,,Demander un Puissant Parchemin d'Agilité 
295,2001,,Se renseigner sur les ingrédients
296,2001,,Continuer la discussion
297,1,365,Se renseigner sur le bonheur en flocon
298,2001,,Proposer son aide
300,2001,,Se renseigner sur les ingrédients
301,2001,,Se renseigner sur la récompense
302,2001,,Accepter le petit boulot
303,2001,,Accepter le gros boulot
304,2001,,Lui demander l'utilité des côtes de Rib
305,1,375,Se renseigner sur le type de gelée
306,1,377,Demander la recette du cake aux Champ Champignons
308,2001,,"Se renseigner sur la ""matière"""
309,2001,,Demander les conditions de l'échange
310,1,387,Se renseigner sur les parchemins
311,2001,,Demander le contenu de la liste
314,2001,,Demander la liste des ingrédients
315,2001,,Demander le nombre de Pattes nécessaire
316,2001,,Proposer son aide pour la fabrication du relaxant ultime
317,1,399,Se renseigner sur les ingrédients
318,2001,,Proposer son aide
319,1,403,Parler
320,1,403,Chuchoter
321,2001,,Se renseigner sur le métier de mineur
322,2001,,Apprendre le métier de Mineur
322,6,"24,759,923,901,489",Apprendre le métier de Mineur
323,2001,,Demander où sont les mines
324,2001,,Se renseigner sur les pioches
325,2001,,Se renseigner sur le travail
326,2001,,Se renseigner sur le métier de Cordonnier
327,2001,,Apprendre le métier de Cordonnier
328,2001,,Proposer son aide
329,1,410,Se renseigner sur les modalités d'ouverture d'un compte en banque
333,1,414,Demander comment apprendre un métier
334,1,415,Demander comment combattre
336,300,-1,Utiliser le parchemin
337,1,417,Se renseigner sur les combats avec les monstres
338,1,418,Se renseigner sur les Agressions
340,1,420,Se renseigner sur les Défis
341,1,421,Se renseigner sur les métiers de Forgeron
342,1,422,Se renseigner sur le métier de Forgeur d'Epées
343,1,423,Se renseigner sur le métier de Forgeur de Dagues
344,1,424,Se renseigner sur le métier de Forgeur de Pelles
345,1,425,Se renseigner sur le métier de Forgeur de Marteaux
346,2001,,Apprendre le métier de Forgeur de Dagues
347,2001,,Apprendre le métier de Forgeur d'Epées
348,2001,,Apprendre le métier de Forgeur de Pelles
349,2001,,Apprendre le métier de Forgeur de Marteaux
349,6,"14,761,423,901,489",Apprendre le métier de Forgeur de Marteaux
350,2001,,Se renseigner sur le métier de Sculpteur de Baguettes
351,2001,,Se renseigner sur le métier de Sculpteur d'Arcs
352,2001,,Se renseigner sur le métier de Sculpteur de Bâtons
353,2001,,Apprendre le métier de Sculpteur de Baguettes
354,2001,,Apprendre le métier de Sculpteur d'Arcs
355,2001,,Apprendre le métier de Sculpteur de Bâtons
356,2001,,Se renseigner sur les missions à accomplir
357,1,432,Se renseigner sur le métier de Boulanger
358,6,"257,546,335,336",Apprendre le métier de Boulanger
359,1,434,Proposer son aide
360,1,435,Se renseigner sur la récompense
361,2001,,Se renseigner sur l'Eleveur de Dragoeuf
362,2001,,Se renseigner sur les métiers de Forgeron
363,2001,,Se renseigner sur les pains
364,2001,,Se renseigner sur le métier de Boulanger
365,1,437,Se renseigner sur les petits travaux
366,2001,,Se renseigner sur son agence très spéciale
369,1,442,Se renseigner sur l'Abraknyde Ancestral
370,1,443,Se renseigner sur la récompense
371,1,444,Demander d'autres informations sur cet Abraknyde
372,1,445,Demander comment augmenter sa force
373,2001,,Suggérer d'autres produits de beauté 
374,1,447,Demander comment augmenter la vitalité 
375,1,448,Se renseigner sur l'amélioration de l'agilité 
376,2001,,Continuer la discussion au sujet des Cornes
377,2001,,Parler des Bottes de Klime
378,2001,,Demander la suite de cette histoire palpitante
384,1,456,Se renseigner sur le métier de Forgeur de Haches
385,2001,,Apprendre le métier de Forgeur de Hâches
386,2001,,Parler des Dragodindes
387,227,-1,Aller à l'île des Wabbits
388,2,"167,273,833",Retourner à Amakna
390,2001,,Retourner au village
391,234,962;863,Prendre la clé 
392,234,961;829,Prendre la clé 
393,234,963;804,Prendre la Clé 
394,219,1,Prendre son sceptre
395,219,2,Prendre sa couronne
396,219,3,Prendre sa cape
397,1,342,Demander potion pour l'île des wabbits
397,235,-1,
398,523,-1,Donner 100 cawottes
402,502,-1,Saluer le wobot
403,2001,,Oui
404,2001,,Non
405,2001,,Proposer ses services de coursier
406,2001,,Se renseigner sur des missions d'assassinat
408,2001,,Se renseigner sur les missions spéciales du Roi
409,2001,,L'affaire Yrun Teullair
410,2001,,Accepter la mission
411,2001,,Maître Roublard des montagnes
412,2001,,Maître Roublard de la forêt sombre
413,2001,,Se renseigner sur les maîtres roublards
414,503,-1,Prendre le dofus
415,2001,,Accepter
438,2001,,Utiliser ce passage
460,1,607,Demander ses prochaines activités
461,2001,,Demander des explications sur son arrivée
462,1,547,Proposer son aide
463,2001,,Proposer de ramener de la boisson.
464,1,551,Demander comment rentrer.
465,1,552,Demander les activités à faire sur l'île.
466,1,556,Demander des précisions sur les pirates.
467,1,554,Demander des précisions sur les habitants de l'île.
468,1,555,Insister
469,1,556,Demander des précisions sur l'alternative
471,1,558,Continuer.
472,1,559,Continuer
473,1,560,Se renseigner sur les destinations.
474,1,561,Demander les conditions et le prix du voyage.
478,1,567,Demander qui est cet individu
479,1,568,Demander des précisions sur l'île
480,1,569,Demander ce que l'on peut faire ici
481,1,570,Demander le prix à payer
482,1,571,Demander des précisions sur les habitants
483,1,572,Demander qui d'autre
484,1,573,Demander qui d'autre
485,1,574,Montrer un masque
486,1,576,Demander comment monter en grade
487,456,-1,Donner les masques
488,455,-1,Proposer de ramener un nouveau modèle.
489,2001,,Donner tout les bouts de squelette
490,2001,,Lui proposer son aide
491,2001,,Demander par quoi commencer
492,1,585,Donner carapaces
493,454,-1,Approcher du Kanniboul
494,2001,,Continuer...
495,2001,,Accepter la proposition
496,2001,,Continuer son chemin
497,2001,,Continuer son chemin
498,2001,,Proposer son aide.
499,452,-1,Montrer le matériel trouvé 
500,2001,,Donner le matériel
502,2001,,Se renseigner sur un casque solide
503,2001,,Demander s'il a déjà volé 
504,1,598,
504,457,-1,Acheter ticket
505,1,600,Acheter corde
505,451,-1,Acheter corde
506,2001,,Demander s'il a déjà volé 
507,2001,,Demander s'il a déjà volé 
508,1,604,Se renseigner sur la fabrication d'un casque solide
509,2001,,Demander s'il a déjà volé 
510,1,606,Demander où se loger
512,1,610,Se renseigner sur les objets de valeurs
513,1,610,Se renseigner pour l'achat
514,1,612,Donner 5000 Kamas et 5 peaux de larves oranges
514,450,-1,Donner 5000 Kamas et 5 peaux de larves oranges
518,102,-1,Nous voulons nous marier
521,2001,,Se renseigner sur le mort
522,2001,,Répondre que je chassais des bouftous
523,2001,,Répondre que je me reposais chez moi
524,2001,,Demander des précisions sur la mort
525,2001,,Demander ces nombres
526,2001,,Donner 100 Kamas
527,2001,,Donner 1000 Kamas
528,1,621,Se renseigner sur le métier d'alchimiste
528,994,"2053,1469,26",Se renseigner sur le métier d'alchimiste
529,1,623,Continuer la discussion sur le métier d'alchimiste
530,1,625,Montrer le parchemin
530,986,"708,1469,1470,26",Montrer le parchemin
531,1,627,Montrer le parchemin
531,986,"578,1470,1471,26",Montrer le parchemin
532,1,629,Montrer le parchemin et la fleur
532,986,"1405,1471,1472,26",Montrer le parchemin et la fleur
534,1,631,Montrer la lettre signée
534,985,"1472,1473,1191,26",Montrer la lettre signée
535,2001,,Demander des recettes d'alchimie spéciales
536,1,2446,Suite...
537,2001,,Suite...
538,2001,,Demander des recettes d'alchimie spéciales
539,2001,,Demander des recettes d'alchimie spéciales
540,2001,,Demander des recettes d'alchimie spéciales
541,2001,,Demander des recettes d'alchimie spéciales
543,0,-1,Apprendre le métier d'alchimiste
543,2001,,Apprendre le métier d'alchimiste
543,6,"26,776,023,901,489",Apprendre le métier d'alchimiste
544,1,641,Suite...
545,1,642,Suite...
546,2001,,Le monde d'Amakna ?
547,2001,,L'évolution des personnages ?
554,2001,,Demander une recette d'alchimie
559,1,657,Se renseigner sur le mariage
560,1,658,Se renseigner sur les obsèques
561,2001,,Se renseigner pour une alliance
562,2001,,Acheter une alliance
563,1,4331,Aller au canon
564,2001,,Donner la clé des bouftous.
564,15,"207,340,915,681,856",Donner la clé des bouftous.
566,2001,,Proposer un échange
571,1,665,Se renseigner sur Hel Munster
572,1,666,Apprendre à maîtriser les éléments
573,1,667,Parler des Métarias
574,1,668,Discuter de la forêt des Abraknydes
575,1,669,Demander où trouver ces Métarias
576,1,670,Demander l'utilité d'une Métaria
577,2001,,Faire une démonstration de son talent de forgeur de Dagues
578,2001,,Montrer le fragment du socle de la Crocobur
579,2001,,Echanger le fragment contre les outils de Forgemage de Dagues
580,2001,,Echanger le fragment contre les outils de Forgemage d'Epées
581,2001,,Echanger le fragment contre les outils de Forgemage de Pelles
582,2001,,Echanger le fragment contre les outils de Forgemage de Haches
583,2001,,Echanger le fragment contre les outils de Forgemage de Marteaux
584,2001,,Echanger le fragment contre les outils de Sculptemage d'Arcs
585,2001,,Echanger le fragment contre les outils de Sculptemage de Baguettes
586,2001,,Echanger le fragment contre les outils de Sculptemage de Bâtons
587,2001,,Demander un nouvel outil
588,2001,,Acheter un marteau pour épées
589,2001,,Refuser
590,2001,,Acheter un marteau pour pelle
591,2001,,Acheter un marteau de hache
592,2001,,Acheter un marteau pour marteaux
593,2001,,Acheter un marteau pour dagues
594,2001,,Acheter une tailladeuse d'arcs
595,2001,,Acheter une tailladeuse de baguettes
596,2001,,Acheter une tailladeuse de bâtons
598,1,674,Demander son secret
599,1,675,Demander à apprendre l'invocation de Chaferfu.
599,9,"3,732,119","Dire "" Au revoir ! ""."
600,1,675,Ne pas demander à apprendre l'invocation de Chaferfu.
601,2,"11,951,702,119","Dire "" En revoir ! ""."
602,9,"3,732,119","Dire "" Bonjour ! ""."
604,2001,,Demander son secret
605,2001,,Accepter la récompense
605,500,-1,Accepter la récompense
607,1,678,Murmurer
608,1,679,Faire remarquer l'absence de deux tomes d'alchimie
610,2001,,Faire une démonstration de son talent de forgeur de marteaux
611,2001,,Faire une démonstration de son talent de forgeur de Hâches
612,2001,,Faire une démonstration de son talent de forgeur d'Epées
613,2001,,Faire une démonstration de son talent de forgeur de Pelles
614,2001,,Faire une démonstration de son talent de sculpteur d'Arc
615,2001,,Faire une démonstration de son talent de sculpteur de Baguettes
616,2001,,Faire une démonstration de son talent de sculpteur de Bâtons
617,2001,,Demander ou trouver une telle création
618,1,682,Demander plus d'explications
619,1,683,Demander l'apprentissage
620,1,684,Demander comment prouver ce courage
621,2001,,Donner la pince de crabe
622,2001,,Se déclarer prêt 
623,2001,,"Rien, l'amour n'a pas de prix"
624,2001,,1
625,2001,,10
626,2001,,1000
627,2001,,"Autant que possible, l'amour n'a pas de prix"
628,2001,,Déclarer cette question stupide
629,2001,,Une énorme attention
630,2001,,Se renseigner sur ces fameuses bottes
631,2001,,Une grande attention
632,2001,,Une attention pas trop étouffante
633,2001,,Autant que l'on peut
634,2001,,Cela dépend
635,2001,,Le soir
636,2001,,Demander comment retrouver ces bottes
637,2001,,Repasser l'épreuve de communication
639,2001,,Une énorme attention
640,2001,,Une grande attention
641,2001,,Une attention pas trop étouffante
642,2001,,Autant que l'on peut
643,2001,,Cela dépend
644,2001,,Le midi 
645,2001,,Le matin
646,2001,,"Tout le temps, l'amour n'attend pas"
647,2001,,"Jamais, l'amour est pur et platonique"
648,2001,,"Selon le jour, le contexte, le couple..."
649,2001,,Le soir
650,2001,,Le midi
651,2001,,Le matin
652,2001,,"Selon le jour, le contexte, le couple..."
653,2001,,"Jamais, l'amour est pur et platonique"
654,2001,,"Tout le temps, l'amour n'attend pas"
655,2001,,Être prêt pour la dernière épreuve
657,2001,,Apprendre le secret
658,1,697,Demander une grosse quantité de ficelles
659,2001,,Donner 100 unités de Lin
662,2001,,Demander d'autres moyens de se soigner
664,1,920,Donner 10 épées de boisaille
664,171,"16,158",Donner 10 épées de boisaille
665,2001,,Accepter
666,2001,,Montrer les cheveux de Tarche
667,2001,,Défier Tarche
668,2001,,Prendre la lettre
669,2001,,Donner le papier
670,2001,,Donner 20 pains au blé complet
671,2001,,Demander où se trouve Torche
672,2001,,Montrer les cheveux de Torche
673,1,951,Demander où se trouve...
677,1,952,... la banque
678,1,953,... la tour de Bonta
679,1,954,... le fort de la milice
680,1,955,... la tour des ordres
681,1,960,Se renseigner sur...
682,1,961,... la milice
683,1,962,... les quartiers de Bonta
684,2001,,"oui c'est evident, spour le test"
685,2001,,Accepter la proposition
686,2001,,Donner l'analyse de sang
688,1,1001,Se renseigner sur cet étrange personnage
702,2001,,Donner 20 bâtons de boisaille
703,2001,,Montrer le collier
704,2001,,Montrer le collier réparé 
705,2001,,Donner la faux du maître Corbac
706,2001,,Accepter la mission
707,2001,,Demander une mission
709,2001,,Donner Défense de sanglier
710,2001,,Donner 32 dents de bouftou
711,2001,,Montrer dents de bouftou
712,2001,,Montrer dents de bouftou
713,2001,,Redemander le détail de la mission
714,2001,,Donner carte spéciale
715,2001,,Donner carte spéciale et une bière
716,2001,,Montrer les badges
717,2001,,Donner 100000 kamas
718,2001,,Donner lame restaurée
719,2001,,Donner lettre de Bishom Pot
720,2001,,Donner poudre à canon
721,2001,,Donner 15 casques de chafer
722,2001,,Prendre une caisse
723,2001,,Prendre une caisse
724,2001,,Demander formulaire N°243
725,2001,,Donner 20 anneaux d'agilité 
726,2001,,Annoncer la mort du paysan
727,2001,,Accepter la mission
728,1,1031,Donner 10 dagues de boisaille
728,171,"26,167",Donner 10 dagues de boisaille
729,2001,,Défier Torche
730,2001,,Parler d'Amayiro
731,1,1036,se renseigner sur ce personnage
732,1,1037,Se renseigner sur le metier de chasseur
733,1,1038,Devenir chasseur
734,2001,,Récupérer la carte
735,1,1039,Accepter le défi
736,2001,,Lancer le combat
737,2001,,Ramener informations
738,2001,,Retenter le combat
739,2001,,Montrer la cuisse de Bouftou
740,1,812,Se renseigner sur le rôle des chafers
741,2001,,"*Cliquetis, cliquetis*"
742,2001,,Montrer le collier abimé.
743,2001,,Donner collier et 1000 kamas
744,2001,,Donner un os de Mak
745,2001,,Demander le prix de la poudre à canon
746,2001,,Parler des canons en général
747,2001,,Connaître le travail en question
748,2001,,Demander une dizaine de pods
749,2001,,Réclamer la dette d'Amayiro
750,1,1051,Se renseigner sur le meurtre
751,2001,,Donner de la bière du chabrulé 
752,2001,,Insister
753,2001,,Se renseigner sur le meurtre
754,2001,,Donner le papier avec le nom de l'assassin
755,2001,,Demander ce qu'il se passe
756,2001,,Donner les 3 Potions
757,2001,,Demander des explications
758,2001,,Donner toutes les dents
759,2001,,Donner toutes les dents
760,2001,,*Cliquetis !*
761,2001,,Attaquer William Lenglad
762,2001,,Donner à nouveau un os de Mak
763,2001,,Demander une caisse d'armes
764,2001,,Donner une caisse
765,2001,,Donner la dernière
766,15,"11,931,436,924,711,900",Donner la clef
767,2001,,Se renseigner sur les soldats habitués
770,2001,,Donner de la bière du chabrulé 
771,2001,,Demander la liste des soldats habitués
772,2001,,Discuter des pauses obligatoires
773,2001,,Parler des pauses obligatoires
774,2001,,Montrer Liste de Mili
775,2001,,Montrer Liste d'ivrogne
776,2001,,Montrer les deux Listes
777,2001,,Montrer les aveux
778,2001,,Donner lame ébréchée et Chèque de 100000K
779,2001,,Donner caisse
780,2001,,Demander une mission
781,2001,,Demander une mission
782,2001,,Demander une mission
783,2001,,Demander badge
784,2001,,Demander son badge
785,2001,,Demander badge
786,2001,,Brâkmar est une ville putride en cette saison.
787,2001,,Parler de Tsog
788,2001,,Demander le prix de la poudre à canon
789,2001,,Donner 20000 kamas
790,2001,,Parler de la poudre à canon
791,2001,,Parler des canons de la milice
792,2001,,Demander la recette de la Nocabregor
793,2001,,Demander un échantillon de Nocabregor
794,2001,,Acheter une dizaine de pods de Nocabregor
795,2001,,Donner bouillie de fleur
796,2001,,Donner pierres de craqueleur
797,1,1131,Oui bien sûr
798,1,1132,Non
799,2001,,Donner 10 marteaux de boisailles
800,2001,,Donner rapport de Finche Aticus
801,2001,,Donner testament
802,2001,,Donner bols de venin
803,2001,,Donner casques de chafer
804,2001,,Donner bouillie de blop
805,1,1140,Donner 5 kamas
806,2001,,Passer son chemin
807,2001,,Donner 5 kamas
808,2001,,Donner du vin de Gloutovore
809,2001,,Passer son chemin
810,2001,,Prendre le message
811,2001,,Donner la réponse
812,2001,,Donner dent de loup
813,2001,,Donner 5 capes Brâkmariennes
814,2001,,Donner lettre de Oto Mustam
815,2001,,Prendre la réponse
816,2001,,Attaquer le tavernier
818,1,1151,Demander des précisions sur cet endroit
819,1,1152,Demander des précisions sur lui
820,2001,,Comment déposer son familier
822,2001,,Demander combien d'argent
823,2001,,Sortir et parcourir le monde
824,2001,,Passer le test
827,2001,,Sortir et parcourir le monde
829,2001,,Lancer l'échange
831,2001,,Donner le formulaire de Tarazed
832,2001,,Laisser Welloy travailler. Enfin... dormir
834,2001,,Récupérer le rapport rempli
835,2001,,Se renseigner sur le 'métier' de Welloy Cab
836,2001,,Laisser Welloy travailler. Enfin... dormir
837,2001,,Laisser Welloy Cab dormir
838,1,1168,Demander à devenir pêcheur
839,2001,,Parler d'amour
840,1,1170,Accepter le deal
841,2001,,Donner les Appats
842,2001,,Montrer la liste d'appats
843,987,"2106,2107,2106,7365,36",Refuser
844,993,"21,062,107",Accepter
845,993,"20,392,041",Accepter
846,0,-1,Refuser
847,2001,,Se sauver
848,1,1178,Demander à devenir boucher
849,1,1481,Oui devenir boucher
850,2001,,Devenir boucher
851,6,"5,675,811,182,336",Apprendre le métier de Boucher
852,1,1184,En savoir plus
853,6,"58,759,611,851,489",Devenir poissonnier
864,2001,,Demander l'emplacement de la tombe
870,2001,,Demander le rapport
882,2001,,Prendre du temps pour réfléchir
883,2001,,Retourner à ses pensées
884,2001,,Rejoindre l'Ordre du Coeur Vaillant
887,2001,,Accepter la demande
888,2001,,Accepter la demande
889,2001,,Accepter la demande
890,2001,,Réfléchir encore un peu
891,2001,,Rejoindre l'Ordre de l'Esprit Salvateur
892,2001,,Réfléchir encore un peu
893,2001,,Rejoindre l'Ordre de l'Oeil Attentif.
894,2001,,Réfléchir encore un peu
895,2001,,Rejoindre l'Ordre du Coeur Vaillant
896,2001,,Prendre le badge
897,2001,,Prendre le badge
898,2001,,Prendre le badge
906,2001,,Rejoindre l'Ordre du Coeur Saignant
907,2001,,Terminer la discussion
910,2001,,Terminer la discussion
911,2001,,Donner 1 oeil de Corbac
912,2001,,Terminer la discussion
913,2001,,Terminer la discussion
914,2001,,Donner le Poil
915,2001,,Terminer la discussion
916,2001,,Donner l'Os de Chafer
917,2001,,Terminer la discussion
919,2001,,"Ok, ok, on va se calmer..."
920,2001,,Et... y aurait pas moyen de... s'entendre ?
921,2001,,S'il vous plaît !
922,2001,,"Ok, chef..."
923,2001,,10.000 kamas ? Les voilà !
924,2001,,Voleur !
925,2001,,Demander analyse du sang GM
926,2001,,Demander comment arracher des dents de bouftou
927,1,1231,Se renseigner sur le meurtre
929,2001,,Donner bière de la Tabasse
930,2001,,Demander du travail
931,2001,,Ne pas insister
932,2001,,Acheter 9 pods de poudre
933,2001,,Donner 18000 kamas
934,2001,,Montrer recette de la Nocabregor
935,2001,,Donner ingrédients
936,2001,,Donner ingrédients
937,2001,,Parler de Brank Thoof
938,2001,,Montrer jus de Gloutovore
939,2001,,Donner jus de Gloutovore
940,2001,,Demander recette de la bouillie
941,2001,,Demander des explications sur les capes
942,2001,,Se renseigner sur cette bonne humeur
943,2001,,Se renseigner sur les miliciens
944,2001,,Se renseigner sur les capes
945,2001,,Accepter la mission
946,2001,,Donner la recette du poison
947,2001,,Demander la recette de poison magique
948,2001,,Donner 1000 Kamas
949,2001,,Demander la recette d'un poison magique
950,2001,,Demander la recette d'un poison magique
951,2001,,Donner 1000 Kamas
952,2001,,Faire remplir le formulaire
953,2001,,Donner formulaire rempli
954,2001,,Passer le test
955,2001,,(prochaine MAJ)
957,2001,,Donner dentier de Chafer
958,2001,,Sortir de prison
959,2001,,Demander détail de la mission
963,2001,,Donner pommes de terres
964,2001,,Donner renseignements
965,2001,,Proposer un défi
966,2001,,Accepter
967,2001,,Demander informations sur créature inconnue
968,2001,,Reclamer le nouvel impôt
969,2001,,Reclamer le nouvel impôt
970,2001,,Accepter la proposition
971,2001,,Reclamer le nouvel impôt
972,2001,,Montrer ingrédients
973,2001,,Demander des précisions
974,2001,,Insister avec ses poings
975,2001,,Reclamer le nouvel impôt
976,2001,,Reclamer le nouvel impôt
977,2001,,Donner les chèques
978,2001,,Proposer 1000 Kamas
979,2001,,Se renseigner sur le poumon des plaines
980,2001,,Tenter de lui arracher le médaillon
981,2001,,Accepter
982,2001,,Donner le poumon des plaines
983,2001,,La laisser chanter
984,2001,,Demander ce qu'il faut faire pour le repas
986,2001,,Donner les ingrédients pour le repas
987,1,1324,Se renseigner sur sa personne
988,2001,,Raconter la mission donnée par Oto
989,2001,,Accepter
991,2001,,Refuser 
992,2001,,Donner champo
993,2001,,Accepter tout de même
994,2001,,Donner les oreilles de Tiwabbits
995,2001,,Donner fausses preuves
996,2001,,Montrer lettre
997,2001,,Donner lettre et capes
998,2001,,Désenvouter le Colonel Lyeno
999,2001,,Présenter Lyeno
1000,2001,,Attaquer
1001,2001,,Passer
1002,2001,,Tenter de lui arracher le médaillon
1003,1,1345,"Jouer à ""Pierre-Feuille-Ciseaux"""
1004,1,1346,Donner 10 kamas
1005,1,260,Demander la récompense
1006,1,1348,Pierre
1007,2001,,Feuille
1008,1,1350,Ciseaux
1009,2001,,Accepter la mission
1010,1,1351,Continuer
1011,2001,,Arrêter
1012,2001,,Continuer
1013,2001,,Arrêter
1014,1,1351,Continuer
1015,2001,,Arrêter
1016,1,1355,Pierre
1017,1,1356,Feuille
1018,1,1357,Ciseaux
1019,2001,,Continuer
1020,2001,,Arrêter
1021,2001,,Continuer
1022,2001,,Continuer
1023,2001,,Arrêter
1024,2001,,Arrêter
1025,2001,,Pierre
1026,2001,,Feuille
1027,2001,,Ciseaux
1028,2001,,Demander la récompense
1029,2001,,Demander la récompense
1030,2001,,Demander la récompense
1031,2001,,Se renseigner sur la garnison
1032,2001,,Demander le rapport pour Oto Mustam
1033,2001,,Demander le rapport
1034,2001,,Accepter
1035,2001,,Donner les échantillons
1036,2001,,Prendre le rapport
1037,2001,,Donner le rapport
1038,2001,,Dimikik privik clirvinikik
1039,2001,,Dinnik ik nisitik
1040,2001,,Dinnik ik ciwittik
1041,2001,,Dinnik ik fillik dik silicik
1042,2001,,Dinnik ink chimpigik
1043,2001,,Dinnik isik dik chiffik
1044,2001,,Demander comment rentrer dans ces quartiers
1045,2001,,Dinnik ik piik dik lirvik
1046,2001,,Dinnik grik dik singlik
1047,2001,,Dinnik pitik dik iriknik
1048,2001,,Dinnik pinik dik siglik
1049,2001,,Accepter
1050,2001,,Refuser
1051,2001,,Revenir sur cette décision
1052,2001,,Confirmer cette décision
1053,2001,,Redemander du poison
1054,2001,,Donner 1000 kamas
1055,2001,,Dénoncer le coupable I
1056,2001,,Dénoncer le coupable II
1057,2001,,Dénoncer le coupable III
1058,2001,,Innocenter les 3 Coupables
1059,2001,,Denoncer les 3 comme complices
1060,2001,,L'escorter
